,user_id,age,gender,income,reward_achieved,transaction,transaction_from_offer,transaction_amount,informational1,informational2,bogo1,bogo2,bogo3,bogo4,discount1,discount2,discount3,discount4,transaction_not_from_offer,perc_offer_completed,trans_from_offer_ratio,trans_not_from_offer_ratio
0,1,54.0,F,67547.61904761902,5.0,9,9,20.4,0,0,0,0,0,0,3,1,2,3,0,0.4,1.8,0.0
1,2,55.0,F,112000.0,5.0,3,0,77.01,0,0,0,0,0,0,0,0,0,0,3,0.5,0.0,1.5
2,3,57.0,F,51660.0,0.0,6,2,14.3,0,1,0,0,1,0,0,0,0,0,4,0.0,1.0,2.0
3,4,75.0,F,100000.0,11.0,7,7,159.27,0,1,2,0,4,0,0,0,0,0,0,0.75,1.75,0.0
4,5,47.0,F,61627.27272727271,0.0,3,1,4.6499999999999995,0,0,0,0,0,0,1,0,0,0,2,0.0,0.2,0.4
5,6,68.0,M,70000.0,7.0,3,1,57.730000000000004,0,0,0,0,1,0,0,0,0,0,2,0.5,0.25,0.5
6,7,39.0,F,48300.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7,8,47.0,F,62881.81818181816,0.0,2,2,0.24,0,0,0,0,0,0,0,1,0,1,0,0.0,0.4,0.0
8,9,65.0,M,53000.0,19.0,3,3,36.43,0,0,0,0,1,1,0,0,0,1,0,0.8333333333333334,0.5,0.0
9,10,54.0,F,65971.42857142861,5.0,6,4,15.620000000000001,0,3,0,1,0,0,0,0,0,0,2,0.25,1.0,0.5
10,11,52.0,F,64100.0,1.0,9,6,66.41,0,0,0,0,0,0,0,6,0,0,3,0.3333333333333333,2.0,1.0
11,12,51.0,F,61088.23529411762,3.0,8,7,17.11,0,0,3,0,0,2,0,2,0,0,1,0.25,1.75,0.25
12,13,58.0,M,51000.0,2.0,4,4,15.62,0,0,0,0,0,0,0,2,2,0,0,0.3333333333333333,1.3333333333333333,0.0
13,14,61.0,F,57000.0,7.0,6,6,85.55,0,4,1,0,0,0,1,0,0,0,0,0.6,1.2,0.0
14,15,26.0,M,46000.0,5.0,11,6,56.22,0,0,6,0,0,0,0,0,0,0,5,0.16666666666666666,1.0,0.8333333333333334
15,16,62.0,F,71000.0,11.0,8,8,160.25,0,0,0,0,0,0,4,4,0,0,0,0.6666666666666666,1.3333333333333333,0.0
16,17,49.0,M,52000.0,1.0,9,7,144.11000000000004,0,1,6,0,0,0,0,0,0,0,2,0.3333333333333333,2.3333333333333335,0.6666666666666666
17,18,45.0,F,65933.33333333328,0.0,5,4,3.9999999999999996,0,0,1,1,0,0,1,1,0,0,1,0.0,0.8,0.2
18,19,57.0,M,42000.0,8.0,6,5,19.099999999999998,0,0,0,0,0,0,0,5,0,0,1,0.4,1.0,0.2
19,20,61.0,F,40000.0,0.0,7,3,20.78,0,0,3,0,0,0,0,0,0,0,4,0.0,1.0,1.3333333333333333
20,21,40.0,F,71000.0,16.0,16,16,300.68,0,0,0,0,0,0,3,13,0,0,0,1.0,3.2,0.0
21,22,64.0,M,100000.0,11.0,7,7,211.29000000000002,3,0,4,0,0,0,0,0,0,0,0,0.6,1.4,0.0
22,23,78.0,F,71000.0,2.0,8,7,155.45999999999998,5,2,0,0,0,0,0,0,0,0,1,0.16666666666666666,1.1666666666666667,0.16666666666666666
23,24,56.0,F,85686.66666666672,0.0,5,3,9.82,2,0,0,0,0,0,1,0,0,0,2,0.0,0.6,0.4
24,25,42.0,M,69000.0,5.0,5,5,91.4,0,0,0,1,0,0,0,0,4,0,0,0.75,1.25,0.0
25,26,56.0,F,88000.0,13.0,3,3,75.62,0,0,0,0,0,0,2,0,0,1,0,0.6666666666666666,0.5,0.0
26,27,51.0,F,64876.923076923056,2.0,16,14,31.91,0,0,4,0,8,0,1,0,1,0,2,0.2,2.8,0.4
27,28,33.0,F,52000.0,2.0,9,9,17.9,0,0,0,0,0,0,0,2,5,2,0,0.16666666666666666,1.5,0.0
28,29,46.0,F,59000.0,0.0,1,1,2.88,0,0,0,1,0,0,0,0,0,0,0,0.0,0.25,0.0
29,30,59.0,M,41000.0,4.0,13,10,52.08,0,1,0,0,0,0,0,0,9,0,3,0.3333333333333333,1.6666666666666667,0.5
30,31,67.0,M,96000.0,12.0,8,7,206.88,0,0,0,0,0,1,0,6,0,0,1,1.0,1.75,0.25
31,32,53.0,O,52000.0,2.0,5,5,18.740000000000002,0,2,0,3,0,0,0,0,0,0,0,0.2,1.0,0.0
32,33,22.0,M,70000.0,10.0,6,6,106.38,0,0,2,3,0,0,0,1,0,0,0,0.6666666666666666,1.0,0.0
33,34,96.0,F,89000.0,15.0,4,2,81.92,0,1,0,0,0,1,0,0,0,0,2,0.8,0.4,0.4
34,35,40.0,M,33000.0,5.0,14,12,40.94,0,5,0,0,6,1,0,0,0,0,2,0.16666666666666666,2.0,0.3333333333333333
35,36,69.0,F,57000.0,12.0,14,14,213.49,2,4,0,6,2,0,0,0,0,0,0,0.6666666666666666,2.3333333333333335,0.0
36,37,43.0,F,45028.571428571435,7.0,6,3,21.819999999999997,0,2,0,0,0,1,0,0,0,0,3,0.5,0.75,0.75
37,38,56.0,M,68000.0,7.0,9,7,167.67000000000002,0,0,0,0,0,0,3,0,4,0,2,0.6666666666666666,2.3333333333333335,0.6666666666666666
38,39,26.0,F,63000.0,5.0,21,20,73.38000000000001,0,14,0,0,0,0,0,6,0,0,1,0.6666666666666666,6.666666666666667,0.3333333333333333
39,40,51.0,F,57500.0,5.0,4,4,12.000000000000002,0,3,0,0,0,1,0,0,0,0,0,0.16666666666666666,0.6666666666666666,0.0
40,41,75.0,M,40000.0,12.0,10,7,155.53,0,0,0,0,0,1,0,0,0,6,3,1.0,1.75,0.75
41,42,20.0,F,30000.0,0.0,10,8,29.889999999999997,0,0,8,0,0,0,0,0,0,0,2,0.0,4.0,1.0
42,43,45.0,M,33000.0,9.0,8,7,61.25,0,0,0,1,1,0,0,5,0,0,1,0.6,1.4,0.2
43,44,61.0,M,98000.0,11.0,8,3,234.42999999999995,0,0,0,3,0,0,0,0,0,0,5,0.8,0.6,1.0
44,45,54.0,M,53722.22222222223,0.0,5,4,7.31,0,0,0,0,0,0,4,0,0,0,1,0.0,2.0,0.5
45,46,42.0,F,68723.07692307694,2.0,16,15,51.71,0,0,0,0,0,1,8,0,6,0,1,0.2,3.0,0.2
46,47,69.0,F,37000.0,5.0,12,10,32.72,0,0,8,0,0,0,0,2,0,0,2,0.2,2.0,0.4
47,48,54.0,F,80000.0,8.0,9,8,249.4,3,4,0,1,0,0,0,0,0,0,1,0.5,1.3333333333333333,0.16666666666666666
48,49,39.0,M,51000.0,5.0,14,14,51.91000000000001,0,8,0,2,0,4,0,0,0,0,0,0.2,2.8,0.0
49,50,41.0,F,41000.0,10.0,18,13,62.51,0,0,7,0,0,0,0,6,0,0,5,0.75,3.25,1.25
